vente_id;date_mutation;nature_mutation;valeur_fonciere
145;2020-05-13 00:00:00;Vente;185000
146;2020-05-05 00:00:00;Vente;162000
147;2020-04-17 00:00:00;Vente;76000
148;2020-04-29 00:00:00;Vente;367000
149;2020-05-19 00:00:00;Vente;324050
150;2020-05-20 00:00:00;Vente;170000
151;2020-05-15 00:00:00;Vente;79370
152;2020-05-15 00:00:00;Vente;69800
153;2020-05-18 00:00:00;Vente;54120
154;2020-05-19 00:00:00;Vente;116500
155;2020-05-12 00:00:00;Vente;136000
156;2020-05-12 00:00:00;Vente;234810
157;2020-05-15 00:00:00;Vente;410000
158;2020-05-14 00:00:00;Vente;205000
159;2020-05-06 00:00:00;Vente;294000
160;2020-05-11 00:00:00;Vente;620000
161;2020-05-12 00:00:00;Vente;230000
162;2020-05-15 00:00:00;Vente;469820
163;2020-05-29 00:00:00;Vente;371550
164;2020-05-12 00:00:00;Vente;315000
165;2020-05-20 00:00:00;Vente;82500
166;2020-05-12 00:00:00;Vente;439785
167;2020-05-18 00:00:00;Vente;65000
168;2020-05-15 00:00:00;Vente;469000
169;2020-05-18 00:00:00;Vente;161000
170;2020-05-19 00:00:00;Vente;513350
171;2020-06-02 00:00:00;Vente;83000
172;2020-06-02 00:00:00;Vente;471810
173;2020-06-11 00:00:00;Vente;220470
174;2020-06-04 00:00:00;Vente;243000
175;2020-06-04 00:00:00;Vente;100000
176;2020-05-29 00:00:00;Vente;193700
177;2020-06-04 00:00:00;Vente;100000
178;2020-06-17 00:00:00;Vente;595600
179;2020-06-26 00:00:00;Vente;225000
180;2020-01-14 00:00:00;Vente;106000
181;2020-01-10 00:00:00;Vente;203400
182;2020-01-07 00:00:00;Vente;212150
183;2020-01-03 00:00:00;Vente;102000
184;2020-01-16 00:00:00;Vente;150200
185;2020-01-13 00:00:00;Vente;129400
186;2020-04-06 00:00:00;Vente;130000
187;2020-05-15 00:00:00;Vente;84800
188;2020-05-20 00:00:00;Vente;282600
189;2020-05-22 00:00:00;Vente;145100
190;2020-01-16 00:00:00;Vente;87000
191;2020-01-03 00:00:00;Vente;142000
192;2020-01-15 00:00:00;Vente;66000
193;2020-01-22 00:00:00;Vente;71500
194;2020-01-10 00:00:00;Vente;68100
195;2020-01-24 00:00:00;Vente;58900
196;2020-02-17 00:00:00;Vente;37900
197;2020-02-14 00:00:00;Vente;70000
198;2020-02-21 00:00:00;Vente;112900
199;2020-02-21 00:00:00;Vente;39500
200;2020-02-24 00:00:00;Vente;39900
201;2020-02-19 00:00:00;Vente;78100
202;2020-02-06 00:00:00;Vente;37015
203;2020-03-12 00:00:00;Vente;93000
204;2020-04-09 00:00:00;Vente;35000
205;2020-04-06 00:00:00;Vente;42500
206;2020-04-09 00:00:00;Vente;88000
207;2020-05-06 00:00:00;Vente;80900
208;2020-05-04 00:00:00;Vente;34000
209;2020-05-18 00:00:00;Vente;84000
210;2020-05-11 00:00:00;Vente;90000
211;2020-05-26 00:00:00;Vente;81500
212;2020-05-26 00:00:00;Vente;27000
213;2020-05-26 00:00:00;Vente;20000
214;2020-05-29 00:00:00;Vente;137000
215;2020-05-30 00:00:00;Vente;44500
216;2020-06-05 00:00:00;Vente;75000
217;2020-05-22 00:00:00;Vente;44000
218;2020-06-25 00:00:00;Vente;32500
219;2020-06-23 00:00:00;Vente;35500
220;2020-06-24 00:00:00;Vente;365000
221;2020-06-24 00:00:00;Vente;55000
222;2020-06-30 00:00:00;Vente;29500
223;2020-01-15 00:00:00;Vente;370000
