cadastre_id;code_type_voie;code_voie;code_id_commune;prefixe_section;section;numero_plan;nature_culture;nature_culture_speciale;surface_terrain
185;0;75;50;;AA;140;;;
186;0;510;46;;G;2655;;;
187;3;186;51;;AC;644;;;
188;5;30;52;;AE;152;;;
189;14;140;53;;A;632;;;
190;0;925;54;;AO;321;;;
191;0;910;55;;AS;122;;;
192;0;535;55;;AV;804;;;
193;0;2278;55;;AC;316;;;
194;0;250;55;;AP;72;;;
195;0;301;56;;AE;375;;;
196;0;2040;55;;AC;169;;;
197;0;1070;54;;BN;8;S;;213
198;0;2860;55;;AB;135;;;
199;0;400;55;;AC;199;;;
200;0;2040;55;;AC;169;;;
201;0;2040;55;;AC;169;;;
202;0;350;55;;AE;38;;;
203;0;1333;55;;BR;137;;;
204;0;1334;55;;BR;137;;;
205;12;1700;55;;AC;264;;;
206;0;1590;55;;BT;258;;;
207;0;535;55;;AV;804;;;
208;11;1930;55;;AC;159;;;
209;0;39;57;;AB;78;;;
210;12;190;54;;AK;215;;;
211;0;535;55;;AV;804;;;
212;0;2620;55;;AC;256;;;
213;0;130;58;;AN;114;;;
214;15;2555;59;;AB;465;;;
215;0;1590;55;;BT;258;;;
216;0;1590;55;;BT;258;;;
217;0;1590;55;;BT;258;;;
218;0;78;60;;B;1281;;;
219;0;540;55;;AE;243;;;
220;0;45;55;;CK;318;;;
221;1;360;55;;AN;47;;;
222;0;2620;55;;AC;256;;;
223;0;5210;61;;AH;1;;;
224;0;2920;61;;AD;372;;;
225;0;2670;61;;AB;99;;;
226;0;5500;61;;AS;302;;;
227;12;800;62;;AM;186;;;
228;0;110;63;;AA;413;;;
229;0;1660;62;;AN;181;;;
230;15;1130;62;;AN;46;;;
231;0;1082;62;;AZ;178;;;
232;0;2180;62;;AL;88;;;
233;0;1830;62;;AD;296;;;
234;0;115;64;;AB;417;;;
235;0;50;64;;AD;50;;;
236;8;B054;65;;AH;617;;;
237;0;6;66;;A;1224;;;
238;0;615;65;;AC;616;;;
239;0;330;62;;AI;21;;;
240;0;1910;62;;AE;115;;;
241;0;1760;62;;AH;44;;;
242;16;A040;67;;ZH;45;;;
243;17;270;68;;AA;246;;;
244;0;70;65;;AD;12;;;
245;12;1192;62;;BW;72;;;
246;0;950;62;;AH;212;;;
247;0;330;62;;AH;210;;;
248;0;1490;62;;AK;111;;;
249;0;20;65;;AB;430;;;
250;0;40;69;;AB;34;;;
251;12;170;65;;AC;73;;;
252;15;760;62;;BS;40;;;
