adresse_id;type_voie;nom_voie;code_postal;nom_commune;code_departement
101;RUE;DE LA PIERRE;1170;ECHENEVEX;1
102;RUE;DES PRALETS;1210;ORNEX;1
103;RUE;DE LA ROCHETTE;1260;CHAMPAGNE-EN-VALROMEY;1
104;RUE;GEORGES CHARPAK;1630;ST-GENIS-POUILLY;1
105;RUE;DE LA FLAUDIERE;1640;JUJURIEUX;1
106;RTE;DE VOUVRAY;1200;VALSERHONE;1
107;;MATAFELON;1580;MATAFELON-GRANGES;1
108;RUE;GEORGES MARIN;1200;VALSERHONE;1
109;RUE;DES BATTOIRS;1710;THOIRY;1
110;ESPA;CHARLES DE GAULLE;1100;OYONNAX;1
111;RUE;ANTOINE JACQUET;1200;VALSERHONE;1
112;;LE BULOZ;1260;HAUT-VALROMEY;1
113;RUE;DU DOCTEUR GREZEL;1130;NANTUA;1
114;CHE;DE PRE DE PLANCHE;1280;PREVESSIN-MOENS;1
115;CHE;DU MARTINET;1170;CESSY;1
116;RUE;DU MURET;1100;OYONNAX;1
117;RUE;DU CHANE;1100;ARBENT;1
118;RUE;JOLIOT CURIE;1200;VALSERHONE;1
119;CHE;DU LAVOIR;1150;SAINT-VULBAS;1
120;RUE;DES USINIERS;1170;GEX;1
121;ALL;HONORE DE BALZAC;1300;BELLEY;1
122;RUE;DES FRERES SERPOLLET;1350;CULOZ;1
123;RUE;DE LA RABOUDIERE;1360;LOYETTES;1
124;RUE;DE MEYRIN;1210;FERNEY-VOLTAIRE;1
125;;HAMEAU DES CHENES;1710;THOIRY;1
126;CHE;DES ECOLIERS;1220;DIVONNE-LES-BAINS;1
127;RUE;DE GENEVE;1210;FERNEY-VOLTAIRE;1
128;IMP;DES PISTES;1410;LELEX;1
129;IMP;DU PEGAN;1210;FERNEY-VOLTAIRE;1
130;PL;DE L HOTEL DE VILLE;1640;JUJURIEUX;1
131;RUE;COLONEL XAVIER RENDU;1200;VALSERHONE;1
132;AV;FRANCIS BLANCHARD;1170;GEX;1
133;RUE;DES MORAINES;1170;CHEVRY;1
134;CHE;DU MARTINET;1170;CESSY;1
135;RUE;BUFFON;1200;VALSERHONE;1
136;RUE;PARMENTIER;1200;VALSERHONE;1
137;RUE;JEAN-JACQUES ROUSSEAU;1630;ST-GENIS-POUILLY;1
138;RUE;DU CONTE DES PERMISSIONS;1220;DIVONNE-LES-BAINS;1
139;RUE;JOSEPH MARION;1200;VALSERHONE;1
140;RUE;DES VERTES CAMPAGNES;1170;GEX;1
141;RUE;PASTEUR;1150;LAGNIEU;1
142;RUE;DES ECOLES;1630;ST-GENIS-POUILLY;1
143;RUE;DU VIEUX BOURG;1170;SEGNY;1
144;RUE;ARISTIDE BRIAND;1500;AMBERIEU-EN-BUGEY;1
145;RUE;DE L AMITIE;1300;BELLEY;1
146;RUE;DES HAUTAINS;1630;ST-GENIS-POUILLY;1
147;;LES MARS;1410;MIJOUX;1
148;AV;DES ALPES;1210;FERNEY-VOLTAIRE;1
149;RUE;DES PRELES;1630;SERGY;1
150;AV;DU GEN SARRAIL;1500;AMBERIEU-EN-BUGEY;1
151;RUE;DE L AVENIR;1200;VALSERHONE;1
152;RUE;TURENNE;1200;VALSERHONE;1
153;RUE;GUSTAVE EIFFEL;1100;BELLIGNAT;1
154;AV;DU JURA;1210;FERNEY-VOLTAIRE;1
155;RUE;GEORGES MARIN;1200;VALSERHONE;1
156;RUE;DE PRE BAILLY;1170;GEX;1
157;IMP;DU SAUGY;1210;ORNEX;1
158;RUE;DES BATTOIRS;1710;THOIRY;1
159;RUE;DE PRE BAILLY;1170;GEX;1
160;CHE;DES COLLINES;1630;SERGY;1
161;RUE;DE MEYRIN;1210;FERNEY-VOLTAIRE;1
162;RUE;PARC JEAN MONNET;1630;ST-GENIS-POUILLY;1
163;CHE;DU PEUDEX;1220;DIVONNE-LES-BAINS;1
164;CHE;DU PONT DE GREMAZ;1710;THOIRY;1
165;ALL;ALBERT CAMUS;1200;VALSERHONE;1
166;RUE;DES HAUTAINS;1630;ST-GENIS-POUILLY;1
167;PL;DES FOURS;1300;BELLEY;1
168;CHE;DU MARAIS;1280;PREVESSIN-MOENS;1
169;RTE;DE GENEVE;1170;CESSY;1
170;RUE;D ARBERE;1220;DIVONNE-LES-BAINS;1
171;RTE;DE CHAVORNOD;1300;BELLEY;1
172;RUE;DU JURA;1220;DIVONNE-LES-BAINS;1
173;CHE;DES LONGES RAYES;1170;CESSY;1
174;GR;GRANDE RUE;1220;DIVONNE-LES-BAINS;1
175;RUE;DES TERREAUX;1170;GEX;1
176;RUE;DU COTEILLON;1150;LAGNIEU;1
177;RUE;DE LA REPUBLIQUE;1550;FARGES;1
178;ALL;DES PRUNUS;1630;ST-GENIS-POUILLY;1
179;CHE;DE LA PRALAY;1170;CROZET;1
180;AV;DES NATIONS;1330;VILLARS-LES-DOMBES;1
181;RUE;DE LAYE;1800;MEXIMIEUX;1
182;RTE;DE BELLEVILLE;1090;MONTCEAUX;1
183;RUE;NEUVE;1120;MONTLUEL;1
